Url,Name,Followers
https://www.lazada.vn/shop/chili-sleep-swear/?itemId=2205793953&channelSource=pdp,CHILI đồ ngủ nữ,937 Followers
https://www.lazada.vn/shop/winny-shop-1605685735/?itemId=1806220472&channelSource=pdp,WINNY SHOP 1605685735,29921 Followers
https://www.lazada.vn/shop/heritageshop/?itemId=1003134664&channelSource=pdp,HERITAGE.SHOP,3381 Followers
https://www.lazada.vn/shop/nasu-may/?itemId=2308744717&channelSource=pdp,nasu_may,14388 Followers
https://www.lazada.vn/shop/kkfashion-store/?itemId=2653806655&channelSource=pdp,kkfashion.store,557 Followers
https://www.lazada.vn/shop/heritageshop/?itemId=1000890667&channelSource=pdp,HERITAGE.SHOP,3381 Followers
https://www.lazada.vn/shop/nguyen-khanh-store/?itemId=2231653683&channelSource=pdp,Nguyên Khánh Store,89200 Followers
https://www.lazada.vn/shop/gia-khangshop/?itemId=2261210616&channelSource=pdp,GIA KHANG_SHOP,23441 Followers
https://www.lazada.vn/shop/sandbox/?itemId=2228473938&channelSource=pdp,SANDBOX,124318 Followers
https://www.lazada.vn/shop/soc-shop1629981837/?itemId=2499021384&channelSource=pdp,Sóc Shop.,5937 Followers
https://www.lazada.vn/shop/winny-shop-1605685735/?itemId=2531395964&channelSource=pdp,WINNY SHOP 1605685735,29921 Followers
https://www.lazada.vn/shop/moc-tra-fashion1632199063/?itemId=2223727075&channelSource=pdp,MỘC TRÀ FASHION,1829 Followers
https://www.lazada.vn/shop/hathudobo/?itemId=1354591625&channelSource=pdp,Hà Thu Đồ Bộ,8016 Followers
https://www.lazada.vn/shop/the-gioi-ao-dai-va-dam-thiet-ke/?itemId=2594914711&channelSource=pdp,THẾ GIỚI ÁO DÀI & ÁO KIỂU CÔNG SỞ,631 Followers
https://www.lazada.vn/shop/shop-be-gau-pijama-do-bo-dam-vay/?itemId=2688827591&channelSource=pdp,"Shop Bé Gấu Pijama , Đồ Bộ , Đầm Váy",4233 Followers
