Product_Url,Content,SentScore,Label,Length
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,Màu sắc đẹp hình in rõ nét mà vải mỏng quá mỏng. Phải chi có thêm 1 lớp trắng như bên trong mặt trước áo thì hay biết mấy lúc đó mặc ban ngày ra đường không thấy quần trong. Chứ giờ có 1 lớp chỉ mặc ngủ thôi.,0,1,49
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,"Vừa vặn và tôn dáng, Thiết kế thời trang cho vẻ ngoài hiện đại, Vừa vặn tốt cho nhiều kích cỡ cơ thể, Mềm mại và thoải mái khi mặc,",2,2,30
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,Màu sắc đẹp hình in rõ nét mà vải mỏng quá mỏng. Phải chi có thêm 1 lớp trắng như bên trong mặt trước áo thì hay biết mấy lúc đó mặc ban ngày ra đường không thấy quần trong. Chứ giờ có 1 lớp chỉ mặc ngủ thôi. ,0,1,49
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,"Chất liệu thoáng mát và thoải mái, Vừa vặn tốt cho nhiều kích cỡ cơ thể, Mềm mại và thoải mái khi mặc,  ",4,2,23
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,"Vừa vặn và tôn dáng, Thiết kế thời trang cho vẻ ngoài hiện đại, Vừa vặn tốt cho nhiều kích cỡ cơ thể, Mềm mại và thoải mái khi mặc,  ",2,2,30
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,"Mềm mại và thoải mái khi mặc, Chất liệu thoáng mát và thoải mái, vải hơi mỏng nhưng mặc nhà thì ok ",2,2,22
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,Giao hàng rất nhanh. Hàng khá giống hình khá ổn chất liệu mỏng khó thấm hút mồ hôi ,0,1,18
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,"hàng như hình, ổn, giao hàng đúng thời gian , tiền nào của nấy k ý kiến gì  ",0,1,18
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html, Đã nhận được sản phẩm shops uy tín đã giao đủ sản phẩm cảm ơn nhiều  ,0,1,16
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,"Vừa vặn và tôn dáng, Dễ dàng phối đồ và linh hoạt trong việc kết hợp, ",0,1,16
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,Đã nhận được sản phẩm shops uy tín đã giao đủ sản phẩm cảm ơn nhiều  ,0,1,16
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,Chất lượng sản phẩm tốt. Đong goi hang tốt. Hiao hang tốt!!!! ,3,2,12
https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,Chất liệu nóng.đong goi hàng tốt. Giao hang tôt!!!!!!!!!!! ,0,1,9
